lat,lon,date,spd10,spd100,dir10,dir100
41.5,8.5,2024-09-09 00:00:00+00:00,25.620771408081055,26.88214111328125,289.70806884765625,290.37652587890625
41.5,8.57,2024-09-09 00:00:00+00:00,25.620771408081055,26.88214111328125,289.70806884765625,290.37652587890625
41.5,8.64,2024-09-09 00:00:00+00:00,24.033876419067383,25.9649600982666,286.534912109375,286.9275817871094
41.5,8.71,2024-09-09 00:00:00+00:00,24.033876419067383,25.9649600982666,286.534912109375,286.9275817871094
41.5,8.78,2024-09-09 00:00:00+00:00,17.418195724487305,26.20839500427246,288.060546875,290.924560546875
41.5,8.85,2024-09-09 00:00:00+00:00,17.418195724487305,26.20839500427246,288.060546875,290.924560546875
41.5,8.92,2024-09-09 00:00:00+00:00,17.418195724487305,26.20839500427246,288.060546875,290.924560546875
41.5,8.99,2024-09-09 00:00:00+00:00,17.418195724487305,26.20839500427246,288.060546875,290.924560546875
41.5,9.06,2024-09-09 00:00:00+00:00,17.418195724487305,26.20839500427246,288.060546875,290.924560546875
41.5,9.13,2024-09-09 00:00:00+00:00,17.418195724487305,26.20839500427246,288.060546875,290.924560546875
41.5,9.2,2024-09-09 00:00:00+00:00,15.59676742553711,26.072052001953125,288.8532409667969,287.6844787597656
41.5,9.27,2024-09-09 00:00:00+00:00,18.003599166870117,28.55142593383789,268.854248046875,275.06353759765625
41.5,9.34,2024-09-09 00:00:00+00:00,18.003599166870117,28.55142593383789,268.854248046875,275.06353759765625
41.5,9.41,2024-09-09 00:00:00+00:00,38.2515869140625,44.30925750732422,251.906005859375,253.47903442382812
41.5,9.48,2024-09-09 00:00:00+00:00,38.2515869140625,44.30925750732422,251.906005859375,253.47903442382812
41.57,8.5,2024-09-09 00:00:00+00:00,25.68392562866211,27.475807189941406,301.2391662597656,301.6074523925781
41.57,8.57,2024-09-09 00:00:00+00:00,24.203140258789062,24.675106048583984,292.7510070800781,293.1986083984375
41.57,8.64,2024-09-09 00:00:00+00:00,14.372974395751953,21.46155548095703,292.0679626464844,292.6938171386719
41.57,8.71,2024-09-09 00:00:00+00:00,14.372974395751953,21.46155548095703,292.0679626464844,292.6938171386719
41.57,8.78,2024-09-09 00:00:00+00:00,14.372974395751953,21.46155548095703,292.0679626464844,292.6938171386719
41.57,8.85,2024-09-09 00:00:00+00:00,14.372974395751953,21.46155548095703,292.0679626464844,292.6938171386719
41.57,8.92,2024-09-09 00:00:00+00:00,10.630672454833984,18.998315811157227,298.3006591796875,297.0505065917969
41.57,8.99,2024-09-09 00:00:00+00:00,14.372974395751953,21.46155548095703,292.0679626464844,292.6938171386719
41.57,9.06,2024-09-09 00:00:00+00:00,10.144082069396973,19.052810668945312,297.4743347167969,292.2035217285156
41.57,9.13,2024-09-09 00:00:00+00:00,10.144082069396973,19.052810668945312,297.4743347167969,292.2035217285156
41.57,9.2,2024-09-09 00:00:00+00:00,13.084402084350586,21.602998733520508,262.0929260253906,270.9548034667969
41.57,9.27,2024-09-09 00:00:00+00:00,13.084402084350586,21.602998733520508,262.0929260253906,270.9548034667969
41.57,9.34,2024-09-09 00:00:00+00:00,13.084402084350586,21.602998733520508,262.0929260253906,270.9548034667969
41.57,9.41,2024-09-09 00:00:00+00:00,13.084402084350586,21.602998733520508,262.0929260253906,270.9548034667969
41.57,9.48,2024-09-09 00:00:00+00:00,34.3493537902832,39.45737838745117,236.9761199951172,238.05006408691406
41.64,8.5,2024-09-09 00:00:00+00:00,26.260265350341797,27.75737762451172,303.2543640136719,303.8962097167969
41.64,8.57,2024-09-09 00:00:00+00:00,25.60053253173828,25.60053253173828,295.8443298339844,295.8443298339844
41.64,8.64,2024-09-09 00:00:00+00:00,25.60053253173828,25.60053253173828,295.8443298339844,295.8443298339844
41.64,8.71,2024-09-09 00:00:00+00:00,21.129884719848633,22.79684066772461,293.0704345703125,291.29742431640625
41.64,8.78,2024-09-09 00:00:00+00:00,6.369049549102783,13.089353561401367,312.7093811035156,301.50421142578125
41.64,8.85,2024-09-09 00:00:00+00:00,6.369049549102783,13.089353561401367,312.7093811035156,301.50421142578125
41.64,8.92,2024-09-09 00:00:00+00:00,6.369049549102783,13.089353561401367,312.7093811035156,301.50421142578125
41.64,8.99,2024-09-09 00:00:00+00:00,6.369049549102783,13.089353561401367,312.7093811035156,301.50421142578125
41.64,9.06,2024-09-09 00:00:00+00:00,9.199390411376953,17.55161476135254,300.5791320800781,295.5138244628906
41.64,9.13,2024-09-09 00:00:00+00:00,9.199390411376953,17.55161476135254,300.5791320800781,295.5138244628906
41.64,9.2,2024-09-09 00:00:00+00:00,12.261157989501953,20.211362838745117,266.63360595703125,274.0855407714844
41.64,9.27,2024-09-09 00:00:00+00:00,12.261157989501953,20.211362838745117,266.63360595703125,274.0855407714844
41.64,9.34,2024-09-09 00:00:00+00:00,12.261157989501953,20.211362838745117,266.63360595703125,274.0855407714844
41.64,9.41,2024-09-09 00:00:00+00:00,12.261157989501953,20.211362838745117,266.63360595703125,274.0855407714844
41.64,9.48,2024-09-09 00:00:00+00:00,30.302080154418945,35.49424743652344,226.44406127929688,229.52484130859375
41.71,8.5,2024-09-09 00:00:00+00:00,26.661880493164062,28.257131576538086,304.5484313964844,304.09503173828125
41.71,8.57,2024-09-09 00:00:00+00:00,27.381305694580078,27.69895362854004,298.2496337890625,297.8971862792969
41.71,8.64,2024-09-09 00:00:00+00:00,27.381305694580078,27.69895362854004,298.2496337890625,297.8971862792969
41.71,8.71,2024-09-09 00:00:00+00:00,7.091177463531494,10.829957962036133,293.9624938964844,291.44781494140625
41.71,8.78,2024-09-09 00:00:00+00:00,7.091177463531494,10.829957962036133,293.9624938964844,291.44781494140625
41.71,8.85,2024-09-09 00:00:00+00:00,7.091177463531494,10.829957962036133,293.9624938964844,291.44781494140625
